ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
6639,2025,City Treasurer,General Fund,City Property,5000,Expenses,Fund Total
6640,2025,City Treasurer,General Fund,Contributions from Other Funds,3800000,Revenues,Fund Total
6641,2025,City Treasurer,General Fund,Employee Services,2898455,Expenses,Fund Total
6642,2025,City Treasurer,General Fund,Intergovernmental,1280000,Revenues,Fund Total
6643,2025,City Treasurer,General Fund,Labor and Supply Offset,-1403847,Expenses,Fund Total
6644,2025,City Treasurer,General Fund,Multi-Year Operating Projects,1000,Expenses,Fund Total
6645,2025,City Treasurer,General Fund,Other Services and Supplies,253111,Expenses,Fund Total
6646,2025,City Treasurer,Interdepartmental Service Fund,Labor and Supply Offset,1404197,Expenses,Other Governmental Funds
6647,2025,Citywide and Community Support,16th St PBID,Other Services and Supplies,194344,Expenses,Other Governmental Funds
6648,2025,Citywide and Community Support,4th R Program,Employee Services,33773,Expenses,Other Governmental Funds
6649,2025,Citywide and Community Support,Aggie Square EIFD,Taxes,16272,Revenues,Other Governmental Funds
6650,2025,Citywide and Community Support,Community Center Fund,Employee Services,125695,Expenses,Enterprise Funds
6651,2025,Citywide and Community Support,Community Center Fund,"Interest, Rents, and Concessions",550000,Revenues,Enterprise Funds
6652,2025,Citywide and Community Support,Community Center Fund,Other Services and Supplies,1766657,Expenses,Enterprise Funds
6653,2025,Citywide and Community Support,Cty/Cnty Office-Water Planning,City Property,0,Expenses,Other Governmental Funds
6654,2025,Citywide and Community Support,Cty/Cnty Office-Water Planning,Employee Services,1613,Expenses,Other Governmental Funds
6655,2025,Citywide and Community Support,Cty/Cnty Office-Water Planning,Intergovernmental,0,Revenues,Other Governmental Funds
6656,2025,Citywide and Community Support,Cty/Cnty Office-Water Planning,Labor and Supply Offset,0,Expenses,Other Governmental Funds
6657,2025,Citywide and Community Support,Cty/Cnty Office-Water Planning,Operating Transfers,0,Expenses,Other Governmental Funds
6658,2025,Citywide and Community Support,Cty/Cnty Office-Water Planning,Other Services and Supplies,0,Expenses,Other Governmental Funds
6659,2025,Citywide and Community Support,Del Paso PBID,"Charges, Fees, and Services",47009,Revenues,Other Governmental Funds
6660,2025,Citywide and Community Support,Del Paso PBID,Other Services and Supplies,47009,Expenses,Other Governmental Funds
6661,2025,Citywide and Community Support,Del Paso Prop and Business Imprv,Other Services and Supplies,551095,Expenses,Other Governmental Funds
6662,2025,Citywide and Community Support,Downtown Management District,Other Services and Supplies,4198181,Expenses,Other Governmental Funds
6663,2025,Citywide and Community Support,Downtown Plaza PBID,"Charges, Fees, and Services",76230,Revenues,Other Governmental Funds
6664,2025,Citywide and Community Support,Downtown Plaza PBID,Other Services and Supplies,76230,Expenses,Other Governmental Funds
6665,2025,Citywide and Community Support,Fleet Management Fund,Employee Services,185790,Expenses,Internal Service Funds
6666,2025,Citywide and Community Support,Fleet Management Fund,"Interest, Rents, and Concessions",200000,Revenues,Internal Service Funds
6667,2025,Citywide and Community Support,Franklin Blvd PBID,"Charges, Fees, and Services",95288,Revenues,Other Governmental Funds
6668,2025,Citywide and Community Support,Franklin Blvd PBID,Other Services and Supplies,95288,Expenses,Other Governmental Funds
6669,2025,Citywide and Community Support,Franklin Boulevard PBID,Other Services and Supplies,228152,Expenses,Other Governmental Funds
6670,2025,Citywide and Community Support,Gas Tax 2106,"Interest, Rents, and Concessions",239000,Revenues,Other Governmental Funds
6671,2025,Citywide and Community Support,General Fund,"Charges, Fees, and Services",4477248,Revenues,Fund Total
6672,2025,Citywide and Community Support,General Fund,City Property,300000,Expenses,Fund Total
6673,2025,Citywide and Community Support,General Fund,Contingency,2000000,Expenses,Fund Total
6674,2025,Citywide and Community Support,General Fund,Contributions from Other Funds,40134900,Revenues,Fund Total
6675,2025,Citywide and Community Support,General Fund,Employee Services,7514830,Expenses,Fund Total
6676,2025,Citywide and Community Support,General Fund,"Interest, Rents, and Concessions",4625000,Revenues,Fund Total
6677,2025,Citywide and Community Support,General Fund,Intergovernmental,5346109,Revenues,Fund Total
6678,2025,Citywide and Community Support,General Fund,Labor and Supply Offset,-2643036,Expenses,Fund Total
6679,2025,Citywide and Community Support,General Fund,Licenses and Permits,1768881,Revenues,Fund Total
6680,2025,Citywide and Community Support,General Fund,Multi-Year Operating Projects,10310851,Expenses,Fund Total
6681,2025,Citywide and Community Support,General Fund,Operating Transfers,0,Expenses,Fund Total
6682,2025,Citywide and Community Support,General Fund,Other Services and Supplies,55085449,Expenses,Fund Total
6683,2025,Citywide and Community Support,General Fund,Taxes,466659769,Revenues,Fund Total
6684,2025,Citywide and Community Support,Greater Broadway PBID,Other Services and Supplies,451101,Expenses,Other Governmental Funds
6685,2025,Citywide and Community Support,Habitat Management Element,Intergovernmental,0,Revenues,Other Governmental Funds
6686,2025,Citywide and Community Support,Habitat Management Element,Labor and Supply Offset,0,Expenses,Other Governmental Funds
6687,2025,Citywide and Community Support,Habitat Management Element,Operating Transfers,0,Expenses,Other Governmental Funds
6688,2025,Citywide and Community Support,Habitat Management Element,Other Services and Supplies,0,Expenses,Other Governmental Funds
6689,2025,Citywide and Community Support,Innovation and Growth Fund,Employee Services,0,Expenses,Other Governmental Funds
6690,2025,Citywide and Community Support,Innovation and Growth Fund,Operating Transfers,0,Expenses,Other Governmental Funds
6691,2025,Citywide and Community Support,Innovation and Growth Fund,Taxes,13467900,Revenues,Other Governmental Funds
6692,2025,Citywide and Community Support,Interdepartmental Service Fund,Labor and Supply Offset,2643036,Expenses,Other Governmental Funds
6693,2025,Citywide and Community Support,Library Services Parcel Tax,"Charges, Fees, and Services",9989149,Revenues,Other Governmental Funds
6694,2025,Citywide and Community Support,Library Services Parcel Tax,Other Services and Supplies,9989149,Expenses,Other Governmental Funds
6695,2025,Citywide and Community Support,Mack Road PBID,Other Services and Supplies,752038,Expenses,Other Governmental Funds
6696,2025,Citywide and Community Support,Major Street Construction Fund,"Interest, Rents, and Concessions",70000,Revenues,Other Governmental Funds
6697,2025,Citywide and Community Support,Marina Fund,Employee Services,0,Expenses,Other Governmental Funds
6698,2025,Citywide and Community Support,Marina Fund,"Interest, Rents, and Concessions",18000,Revenues,Other Governmental Funds
6699,2025,Citywide and Community Support,Measure U Fund,Employee Services,-169350,Expenses,Fund Total
6700,2025,Citywide and Community Support,Measure U Fund,"Interest, Rents, and Concessions",1250000,Revenues,Fund Total
6701,2025,Citywide and Community Support,Measure U Fund,Labor and Supply Offset,154634,Expenses,Fund Total
6702,2025,Citywide and Community Support,Measure U Fund,Multi-Year Operating Projects,6520145,Expenses,Fund Total
6703,2025,Citywide and Community Support,Measure U Fund,Other Services and Supplies,20590490,Expenses,Fund Total
6704,2025,Citywide and Community Support,Measure U Fund,Taxes,139093812,Revenues,Fund Total
6705,2025,Citywide and Community Support,Midtown Sacramento PBID,Other Services and Supplies,1897592,Expenses,Other Governmental Funds
6706,2025,Citywide and Community Support,N Natomas Transp Mgmt Assoc,Other Services and Supplies,1970000,Expenses,Other Governmental Funds
6707,2025,Citywide and Community Support,New Measure A Maintenance,"Interest, Rents, and Concessions",20000,Revenues,Other Governmental Funds
6708,2025,Citywide and Community Support,"NMA Safety, Streets, Ped, Bic","Interest, Rents, and Concessions",42000,Revenues,Other Governmental Funds
6709,2025,Citywide and Community Support,NMA Traffic Control and Safety,"Interest, Rents, and Concessions",30000,Revenues,Other Governmental Funds
6710,2025,Citywide and Community Support,Oak Park PBID,Other Services and Supplies,357386,Expenses,Other Governmental Funds
6711,2025,Citywide and Community Support,Old Sacramento PBID,"Charges, Fees, and Services",145530,Revenues,Other Governmental Funds
6712,2025,Citywide and Community Support,Old Sacramento PBID,Other Services and Supplies,145530,Expenses,Other Governmental Funds
6713,2025,Citywide and Community Support,Parking Fund,Employee Services,88609,Expenses,Enterprise Funds
6714,2025,Citywide and Community Support,Parking Fund,"Interest, Rents, and Concessions",300000,Revenues,Enterprise Funds
6715,2025,Citywide and Community Support,Power Inn Area Prop and Business,Other Services and Supplies,615386,Expenses,Other Governmental Funds
6716,2025,Citywide and Community Support,Quimby Act Fund,"Charges, Fees, and Services",100000,Revenues,Other Governmental Funds
6717,2025,Citywide and Community Support,Recycling and Solid Waste,Employee Services,542407,Expenses,Enterprise Funds
6718,2025,Citywide and Community Support,Recycling and Solid Waste,"Interest, Rents, and Concessions",750000,Revenues,Enterprise Funds
6719,2025,Citywide and Community Support,Risk Mgmt Fund,Employee Services,16293,Expenses,Risk Management
6720,2025,Citywide and Community Support,Sac Tourism Marketing District,"Charges, Fees, and Services",3645400,Revenues,Other Governmental Funds
6721,2025,Citywide and Community Support,Sac Tourism Marketing District,Other Services and Supplies,3568492,Expenses,Other Governmental Funds
6722,2025,Citywide and Community Support,Sacramento TID,"Charges, Fees, and Services",3896883,Revenues,Other Governmental Funds
6723,2025,Citywide and Community Support,So Natomas Comm Improv,Intergovernmental,0,Revenues,Other Governmental Funds
6724,2025,Citywide and Community Support,Stadium Area EIFD,Taxes,1548,Revenues,Other Governmental Funds
6725,2025,Citywide and Community Support,START Fund,Employee Services,4704,Expenses,Other Governmental Funds
6726,2025,Citywide and Community Support,Stockton Blvd BIA,"Charges, Fees, and Services",74705,Revenues,Other Governmental Funds
6727,2025,Citywide and Community Support,Stockton Blvd BIA,Other Services and Supplies,74705,Expenses,Other Governmental Funds
6728,2025,Citywide and Community Support,Stockton Blvd PBID,Other Services and Supplies,447745,Expenses,Other Governmental Funds
6729,2025,Citywide and Community Support,Storm Drainage Fund,Employee Services,292233,Expenses,Enterprise Funds
6730,2025,Citywide and Community Support,Storm Drainage Fund,"Interest, Rents, and Concessions",440000,Revenues,Enterprise Funds
6731,2025,Citywide and Community Support,Storm Drainage Property Fee,"Interest, Rents, and Concessions",100000,Revenues,Enterprise Funds
6732,2025,Citywide and Community Support,The River District PBID,Other Services and Supplies,751570,Expenses,Other Governmental Funds
6733,2025,Citywide and Community Support,Wastewater Fund,Employee Services,202880,Expenses,Enterprise Funds
6734,2025,Citywide and Community Support,Wastewater Fund,"Interest, Rents, and Concessions",430000,Revenues,Enterprise Funds
6735,2025,Citywide and Community Support,Water Fund,Employee Services,615515,Expenses,Enterprise Funds
6736,2025,Citywide and Community Support,Water Fund,"Interest, Rents, and Concessions",865000,Revenues,Enterprise Funds
6737,2025,Citywide and Community Support,Water Fund,Operating Transfers,0,Expenses,Enterprise Funds
6738,2025,Citywide and Community Support,Worker's Compensation Fund,Employee Services,36143,Expenses,Risk Management
6739,2025,Citywide and Community Support,Worker's Compensation Fund,"Interest, Rents, and Concessions",500000,Revenues,Risk Management
6740,2025,Community Development,Citywide Low Income Housing Fund,Licenses and Permits,2970000,Revenues,Other Governmental Funds
6741,2025,Community Development,Citywide Low Income Housing Fund,Other Services and Supplies,2970000,Expenses,Other Governmental Funds
6742,2025,Community Development,Development Services Fund,"Charges, Fees, and Services",2588700,Revenues,Other Governmental Funds
6743,2025,Community Development,Development Services Fund,Intergovernmental,1332000,Revenues,Other Governmental Funds
6744,2025,Community Development,Development Services Fund,Multi-Year Operating Projects,3688700,Expenses,Other Governmental Funds
6745,2025,Community Development,General Fund,"Charges, Fees, and Services",4983012,Revenues,Fund Total
6746,2025,Community Development,General Fund,City Property,113287,Expenses,Fund Total
6747,2025,Community Development,General Fund,Employee Services,29415541,Expenses,Fund Total
6748,2025,Community Development,General Fund,"Fines, Forfeitures, and  Penalties",1685184,Revenues,Fund Total
6749,2025,Community Development,General Fund,Labor and Supply Offset,2214977,Expenses,Fund Total
6750,2025,Community Development,General Fund,Licenses and Permits,23898546,Revenues,Fund Total
6751,2025,Community Development,General Fund,Miscellaneous Revenue,1065960,Revenues,Fund Total
6752,2025,Community Development,General Fund,Multi-Year Operating Projects,121200,Expenses,Fund Total
6753,2025,Community Development,General Fund,Other Services and Supplies,5359856,Expenses,Fund Total
6754,2025,Community Development,General Fund,Transfers,328418,Expenses,Fund Total
6755,2025,Community Development,Landscaping and Lighting,Labor and Supply Offset,262600,Expenses,Other Governmental Funds
6756,2025,Community Development,Measure U Fund,City Property,68354,Expenses,Fund Total
6757,2025,Community Development,Measure U Fund,Employee Services,15092279,Expenses,Fund Total
6758,2025,Community Development,Measure U Fund,Labor and Supply Offset,-5558006,Expenses,Fund Total
6759,2025,Community Development,Measure U Fund,Multi-Year Operating Projects,4428500,Expenses,Fund Total
6760,2025,Community Development,Measure U Fund,Other Services and Supplies,4137689,Expenses,Fund Total
6761,2025,Community Development,Special Program Donations Fund,Miscellaneous Revenue,250000,Revenues,Other Governmental Funds
6762,2025,Community Development,Special Program Donations Fund,Multi-Year Operating Projects,250000,Expenses,Other Governmental Funds
6763,2025,Community Response,Measure U Fund,City Property,322790,Expenses,Fund Total
6764,2025,Community Response,Measure U Fund,Employee Services,4858122,Expenses,Fund Total
6765,2025,Community Response,Measure U Fund,Multi-Year Operating Projects,19581070,Expenses,Fund Total
6766,2025,Community Response,Measure U Fund,Other Services and Supplies,682583,Expenses,Fund Total
6767,2025,Convention and Cultural Services,Community Center Fund,"Charges, Fees, and Services",7961626,Revenues,Enterprise Funds
6768,2025,Convention and Cultural Services,Community Center Fund,City Property,43000,Expenses,Enterprise Funds
6769,2025,Convention and Cultural Services,Community Center Fund,Employee Services,11040884,Expenses,Enterprise Funds
6770,2025,Convention and Cultural Services,Community Center Fund,"Fines, Forfeitures, and  Penalties",3100,Revenues,Enterprise Funds
6771,2025,Convention and Cultural Services,Community Center Fund,"Interest, Rents, and Concessions",701000,Revenues,Enterprise Funds
6772,2025,Convention and Cultural Services,Community Center Fund,Intergovernmental,80000,Revenues,Enterprise Funds
6773,2025,Convention and Cultural Services,Community Center Fund,Labor and Supply Offset,2567182,Expenses,Enterprise Funds
6774,2025,Convention and Cultural Services,Community Center Fund,Miscellaneous Revenue,866000,Revenues,Enterprise Funds
6775,2025,Convention and Cultural Services,Community Center Fund,Multi-Year Operating Projects,64000,Expenses,Enterprise Funds
6776,2025,Convention and Cultural Services,Community Center Fund,Operating Transfers,2162500,Expenses,Enterprise Funds
6777,2025,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,9674470,Expenses,Enterprise Funds
6778,2025,Convention and Cultural Services,Community Center Fund,Taxes,34543097,Revenues,Enterprise Funds
6779,2025,Convention and Cultural Services,Community Center Fund,Transfers,0,Expenses,Enterprise Funds
6780,2025,Convention and Cultural Services,Fairytale Town Fund,"Charges, Fees, and Services",50000,Revenues,Other Governmental Funds
6781,2025,Convention and Cultural Services,Fairytale Town Fund,Labor and Supply Offset,25000,Expenses,Other Governmental Funds
6782,2025,Convention and Cultural Services,Fairytale Town Fund,Other Services and Supplies,25000,Expenses,Other Governmental Funds
6783,2025,Convention and Cultural Services,General Fund,"Charges, Fees, and Services",286277,Revenues,Fund Total
6784,2025,Convention and Cultural Services,General Fund,"Interest, Rents, and Concessions",180000,Revenues,Fund Total
6785,2025,Convention and Cultural Services,General Fund,Intergovernmental,307650,Revenues,Fund Total
6786,2025,Convention and Cultural Services,General Fund,Labor and Supply Offset,796808,Expenses,Fund Total
6787,2025,Convention and Cultural Services,General Fund,Licenses and Permits,22881,Revenues,Fund Total
6788,2025,Convention and Cultural Services,H Street Theater Fund,City Property,20000,Expenses,Other Governmental Funds
6789,2025,Convention and Cultural Services,H Street Theater Fund,Intergovernmental,30000,Revenues,Other Governmental Funds
6790,2025,Convention and Cultural Services,H Street Theater Fund,Miscellaneous Revenue,15000,Revenues,Other Governmental Funds
6791,2025,Convention and Cultural Services,H Street Theater Fund,Other Services and Supplies,25000,Expenses,Other Governmental Funds
6792,2025,Convention and Cultural Services,Innovation and Growth Fund,Multi-Year Operating Projects,850000,Expenses,Other Governmental Funds
6793,2025,Convention and Cultural Services,Measure U Fund,City Property,6000,Expenses,Fund Total
6794,2025,Convention and Cultural Services,Measure U Fund,Employee Services,3426194,Expenses,Fund Total
6795,2025,Convention and Cultural Services,Measure U Fund,Labor and Supply Offset,-1572625,Expenses,Fund Total
6796,2025,Convention and Cultural Services,Measure U Fund,Multi-Year Operating Projects,614000,Expenses,Fund Total
6797,2025,Convention and Cultural Services,Measure U Fund,Other Services and Supplies,1779299,Expenses,Fund Total
6798,2025,Convention and Cultural Services,Measure U Fund,Transfers,-85000,Expenses,Fund Total
6799,2025,Convention and Cultural Services,Old Sac Market,"Charges, Fees, and Services",110000,Revenues,Other Governmental Funds
6800,2025,Convention and Cultural Services,Old Sac Market,Other Services and Supplies,104000,Expenses,Other Governmental Funds
6801,2025,Convention and Cultural Services,Old Sacto Maint Dist,Labor and Supply Offset,66719,Expenses,Other Governmental Funds
6802,2025,Convention and Cultural Services,Winchester G and Mary Alice Felt,Transfers,85000,Expenses,Other Governmental Funds
6803,2025,Convention and Cultural Services,Zoo,"Charges, Fees, and Services",50000,Revenues,Other Governmental Funds
6804,2025,Convention and Cultural Services,Zoo,Labor and Supply Offset,50000,Expenses,Other Governmental Funds
6805,2025,Debt Service,"2006 CIRBs (Refunding), Series E",City Debt Service,231037,Expenses,Other Governmental Funds
6806,2025,Debt Service,"2006 CIRBs (Refunding), Series E",Intergovernmental,231035,Revenues,Other Governmental Funds
6807,2025,Debt Service,"2006 CIRBs, Series B (CRCIP)",City Debt Service,1512650,Expenses,Other Governmental Funds
6808,2025,Debt Service,"2006 CIRBs, Series B (CRCIP)","Interest, Rents, and Concessions",87600,Revenues,Other Governmental Funds
6809,2025,Debt Service,"2006 CIRBs, Series B (CRCIP)",Intergovernmental,1113050,Revenues,Other Governmental Funds
6810,2025,Debt Service,2015 Golden 1 Center Revenue Bonds,City Debt Service,8889286,Expenses,Other Governmental Funds
6811,2025,Debt Service,2015 Golden 1 Center Revenue Bonds,"Interest, Rents, and Concessions",8601293,Revenues,Other Governmental Funds
6812,2025,Debt Service,2015 Refunding Revenue Bond,City Debt Service,0,Expenses,Other Governmental Funds
6813,2025,Debt Service,2016 Lease Financing-H Street,City Debt Service,674515,Expenses,Other Governmental Funds
6814,2025,Debt Service,2016 Lease Financing-H Street,Intergovernmental,674515,Revenues,Other Governmental Funds
6815,2025,Debt Service,"2018 TOT Revenue Bonds, Tax Exempt",City Debt Service,-696666,Expenses,Enterprise Funds
6816,2025,Debt Service,"2018 TOT Revenue Bonds, Taxable",City Debt Service,696715,Expenses,Enterprise Funds
6817,2025,Debt Service,2019 STID Revenue Bonds,City Debt Service,0,Expenses,Enterprise Funds
6818,2025,Debt Service,Community Center Fund,City Debt Service,20318486,Expenses,Enterprise Funds
6819,2025,Debt Service,Drinking Water SRF Loan,City Debt Service,0,Expenses,Enterprise Funds
6820,2025,Debt Service,Drinking Water SRF Loan,Miscellaneous Revenue,0,Revenues,Enterprise Funds
6821,2025,Debt Service,Fleet Management Fund,City Debt Service,44842,Expenses,Internal Service Funds
6822,2025,Debt Service,General Fund,City Debt Service,16578414,Expenses,Fund Total
6823,2025,Debt Service,Golf Fund,City Debt Service,435087,Expenses,Other Governmental Funds
6824,2025,Debt Service,Innovation and Growth Fund,City Debt Service,0,Expenses,Other Governmental Funds
6825,2025,Debt Service,Marina Fund,City Debt Service,1207235,Expenses,Other Governmental Funds
6826,2025,Debt Service,NNFP Public Facilities Fee Fund,City Debt Service,573171,Expenses,Other Governmental Funds
6827,2025,Debt Service,NNFP Reg Park Land Acquisition,City Debt Service,825331,Expenses,Other Governmental Funds
6828,2025,Debt Service,Parking Fund,City Debt Service,9780506,Expenses,Enterprise Funds
6829,2025,Debt Service,Recycling and Solid Waste,City Debt Service,1674299,Expenses,Enterprise Funds
6830,2025,Debt Service,Sacramento TID,City Debt Service,2742250,Expenses,Other Governmental Funds
6831,2025,Debt Service,Storm Drainage Fund,City Debt Service,232860,Expenses,Enterprise Funds
6832,2025,Debt Service,Wastewater Fund,City Debt Service,3910458,Expenses,Enterprise Funds
6833,2025,Debt Service,Wastewater Rev Ref Bonds Ser 2020,City Debt Service,0,Expenses,Enterprise Funds
6834,2025,Debt Service,Wastewater Revenue Bonds 2019,City Debt Service,0,Expenses,Enterprise Funds
6835,2025,Debt Service,Water Fund,City Debt Service,32677464,Expenses,Enterprise Funds
6836,2025,Debt Service,Water Rev Ref Bonds Ser 2020,City Debt Service,0,Expenses,Enterprise Funds
6837,2025,Debt Service,Water Rev Ref Bonds Ser 2023,City Debt Service,0,Expenses,Enterprise Funds
6838,2025,Debt Service,Water Revenue Bonds,City Debt Service,2860241,Expenses,Enterprise Funds
6839,2025,Debt Service,Water Revenue Bonds Ser. 2017,City Debt Service,0,Expenses,Enterprise Funds
6840,2025,Debt Service,Worker's Compensation Fund,"Interest, Rents, and Concessions",54000,Revenues,Risk Management
6841,2025,Finance,12th Street Maint Benefit Area,"Charges, Fees, and Services",18577,Revenues,Other Governmental Funds
6842,2025,Finance,12th Street Maint Benefit Area,Labor and Supply Offset,1693,Expenses,Other Governmental Funds
6843,2025,Finance,16th St PBID,"Charges, Fees, and Services",202118,Revenues,Other Governmental Funds
6844,2025,Finance,16th St PBID,Labor and Supply Offset,2673,Expenses,Other Governmental Funds
6845,2025,Finance,65th Street Area Impact Fee,Multi-Year Operating Projects,15000,Expenses,Other Governmental Funds
6846,2025,Finance,Central Midtown Restaurant BID,"Charges, Fees, and Services",242256,Revenues,Other Governmental Funds
6847,2025,Finance,Central Midtown Restaurant BID,Labor and Supply Offset,2598,Expenses,Other Governmental Funds
6848,2025,Finance,Central Midtown Restaurant BID,Other Services and Supplies,242256,Expenses,Other Governmental Funds
6849,2025,Finance,Cty/Cnty Office-Water Planning,Labor and Supply Offset,39000,Expenses,Other Governmental Funds
6850,2025,Finance,Curtis Park CFD 2013-03,"Charges, Fees, and Services",26500,Revenues,Other Governmental Funds
6851,2025,Finance,Curtis Park CFD 2013-03,Labor and Supply Offset,2089,Expenses,Other Governmental Funds
6852,2025,Finance,Del Paso Nuevo Landscaping CFD,"Charges, Fees, and Services",25296,Revenues,Other Governmental Funds
6853,2025,Finance,Del Paso Nuevo Landscaping CFD,Labor and Supply Offset,2057,Expenses,Other Governmental Funds
6854,2025,Finance,Del Paso Prop and Business Imprv,"Charges, Fees, and Services",551095,Revenues,Other Governmental Funds
6855,2025,Finance,Del Paso Prop and Business Imprv,Labor and Supply Offset,2804,Expenses,Other Governmental Funds
6856,2025,Finance,Delta Shores PF Impact Fees,Multi-Year Operating Projects,2000000,Expenses,Other Governmental Funds
6857,2025,Finance,Downtown Impact Fee Fund,Multi-Year Operating Projects,50000,Expenses,Other Governmental Funds
6858,2025,Finance,Downtown Management District,"Charges, Fees, and Services",4198181,Revenues,Other Governmental Funds
6859,2025,Finance,Downtown Management District,Labor and Supply Offset,3418,Expenses,Other Governmental Funds
6860,2025,Finance,Franklin Boulevard PBID,"Charges, Fees, and Services",228152,Revenues,Other Governmental Funds
6861,2025,Finance,Franklin Boulevard PBID,Labor and Supply Offset,2720,Expenses,Other Governmental Funds
6862,2025,Finance,General Fund,"Charges, Fees, and Services",516369,Revenues,Fund Total
6863,2025,Finance,General Fund,City Property,44400,Expenses,Fund Total
6864,2025,Finance,General Fund,Employee Services,13762241,Expenses,Fund Total
6865,2025,Finance,General Fund,"Fines, Forfeitures, and  Penalties",3000,Revenues,Fund Total
6866,2025,Finance,General Fund,Intergovernmental,259079,Revenues,Fund Total
6867,2025,Finance,General Fund,Labor and Supply Offset,-5321616,Expenses,Fund Total
6868,2025,Finance,General Fund,Licenses and Permits,364000,Revenues,Fund Total
6869,2025,Finance,General Fund,Miscellaneous Revenue,242126,Revenues,Fund Total
6870,2025,Finance,General Fund,Other Services and Supplies,1765803,Expenses,Fund Total
6871,2025,Finance,General Fund,Transfers,64003,Expenses,Fund Total
6872,2025,Finance,Greater Broadway PBID,"Charges, Fees, and Services",451101,Revenues,Other Governmental Funds
6873,2025,Finance,Greater Broadway PBID,Labor and Supply Offset,2870,Expenses,Other Governmental Funds
6874,2025,Finance,Handle BID No 2011-04,"Charges, Fees, and Services",256555,Revenues,Other Governmental Funds
6875,2025,Finance,Handle BID No 2011-04,Labor and Supply Offset,2598,Expenses,Other Governmental Funds
6876,2025,Finance,Handle BID No 2011-04,Other Services and Supplies,253957,Expenses,Other Governmental Funds
6877,2025,Finance,Innovation and Growth Fund,Labor and Supply Offset,175572,Expenses,Other Governmental Funds
